$SUMMARY
Experiment Type : Continuous Scan
Experiment Name : buffer, Number : 62
Experiment Description : Tris 10mM, EDTA 0.5 mM, KCl 10 mM
Software Version : v2.03
Experiment start time : 01/12/2009  17:26:40
Temp. Setpoint   : 25.00 deg C
Scan Start : 60.000 deg.
Scan End   : 70.000 deg.
Scan Step  :  0.001 deg.
Scan Rate  : 25.000 deg./min.
Number of Repeats : 1
Wait Time Between Repeats  : 0.100 sec
Prism Position   : Sample Position
Laser/Polarization : GREEN P
Sample Temperature : 25.05 degC.
Normalization:
Normalize 0 pct. Value (Dark Sample) = -0.001
Normalize 0 pct. Value (Dark Ref.) = -0.000
RED Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 3.198596
Normalize 100 pct. Value S = 3.115587
Initial Reference Value P = 4.013322
Initial Reference Value S = 3.843939
GREEN Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 2.741905
Normalize 100 pct. Value S = 2.484425
Initial Reference Value P = 2.813556
Initial Reference Value S = 2.615177
65 deg Start of Scan Raw Sample =   2.7460
65 deg Start of Scan Raw Reference =   2.8436
65 deg Start of Scan Reflectance =   2.7179

$DATA
$MDCNAME:
$MDCDATA:1:2:3
 X	Reflectance	Raw_Sample	Raw_Reference
60.00048 	0.87283  	2.32287  	2.83700  
60.00142 	0.87385  	2.32344  	2.83604  
60.00251 	0.87385  	2.32274  	2.83633  
60.00361 	0.87281  	2.32348  	2.83842  
60.00455 	0.87267  	2.32322  	2.83840  
60.00565 	0.87433  	2.32276  	2.83559  
60.00674 	0.87461  	2.32398  	2.83570  
60.00784 	0.87380  	2.32320  	2.83613  
60.00878 	0.87295  	2.32309  	2.83722  
60.00988 	0.87132  	2.32313  	2.83984  
60.01097 	0.87150  	2.32298  	2.83960  
60.01191 	0.87300  	2.32272  	2.83679  
60.01301 	0.87357  	2.32374  	2.83626  
60.01411 	0.87383  	2.32381  	2.83598  
60.01521 	0.87346  	2.32283  	2.83596  
60.01614 	0.87194  	2.32376  	2.83873  
60.01724 	0.87126  	2.32315  	2.83964  
60.01834 	0.87279  	2.32289  	2.83746  
60.01928 	0.87408  	2.32344  	2.83602  
60.02037 	0.87438  	2.32455  	2.83644  
60.02147 	0.87437  	2.32394  	2.83618  
60.02257 	0.87334  	2.32339  	2.83774  
60.02351 	0.87179  	2.32337  	2.84010  
60.02460 	0.87112  	2.32283  	2.84053  
60.02570 	0.87102  	2.32304  	2.84075  
60.02664 	0.87244  	2.32252  	2.83827  
60.02774 	0.87348  	2.32239  	2.83655  
60.02884 	0.87363  	2.32394  	2.83707  
60.02993 	0.87401  	2.32354  	2.83626  
60.03087 	0.87351  	2.32361  	2.83685  
60.03197 	0.87233  	2.32330  	2.83838  
60.03307 	0.87105  	2.32315  	2.83992  
60.03400 	0.87094  	2.32300  	2.84023  
60.03510 	0.87214  	2.32280  	2.83886  
60.03620 	0.87287  	2.32252  	2.83733  
60.03729 	0.87341  	2.32370  	2.83707  
60.03823 	0.87349  	2.32433  	2.83731  
60.03933 	0.87325  	2.32298  	2.83676  
60.04043 	0.87187  	2.32309  	2.83883  
60.04137 	0.87079  	2.32330  	2.84071  
60.04247 	0.87078  	2.32289  	2.84069  
60.04356 	0.87116  	2.32206  	2.83964  
60.04465 	0.87209  	2.32191  	2.83801  
60.04559 	0.87271  	2.32280  	2.83768  
60.04669 	0.87278  	2.32283  	2.83766  
60.04779 	0.87317  	2.32241  	2.83668  
60.04873 	0.87302  	2.32280  	2.83703  
60.04982 	0.87219  	2.32357  	2.83894  
60.05092 	0.87142  	2.32280  	2.83999  
60.05202 	0.87132  	2.32269  	2.84001  
