$SUMMARY
Experiment Type : Continuous Scan
Experiment Name : buffer, Number : 61
Experiment Description : Tris 10mM, EDTA 0.5 mM, KCl 10 mM
Software Version : v2.03
Experiment start time : 01/12/2009  17:25:57
Temp. Setpoint   : 25.00 deg C
Scan Start : 60.000 deg.
Scan End   : 70.000 deg.
Scan Step  :  0.001 deg.
Scan Rate  : 25.000 deg./min.
Number of Repeats : 1
Wait Time Between Repeats  : 0.100 sec
Prism Position   : Sample Position
Laser/Polarization : GREEN S
Sample Temperature : 25.05 degC.
Normalization:
Normalize 0 pct. Value (Dark Sample) = -0.001
Normalize 0 pct. Value (Dark Ref.) = -0.000
RED Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 3.198596
Normalize 100 pct. Value S = 3.115587
Initial Reference Value P = 4.013322
Initial Reference Value S = 3.843939
GREEN Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 2.741905
Normalize 100 pct. Value S = 2.484425
Initial Reference Value P = 2.813556
Initial Reference Value S = 2.615177
65 deg Start of Scan Raw Sample =   2.5010
65 deg Start of Scan Raw Reference =   2.6410
65 deg Start of Scan Reflectance =   2.4775

$DATA
$MDCNAME:
$MDCDATA:1:2:3
 X	Reflectance	Raw_Sample	Raw_Reference
60.00048 	0.96381  	2.47517  	2.64165  
60.00142 	0.96297  	2.47387  	2.64221  
60.00251 	0.96332  	2.47605  	2.64309  
60.00361 	0.96563  	2.47618  	2.64062  
60.00455 	0.96710  	2.47552  	2.63860  
60.00565 	0.96552  	2.47537  	2.64104  
60.00674 	0.96460  	2.47421  	2.64180  
60.00768 	0.96471  	2.47513  	2.64215  
60.00878 	0.96547  	2.47644  	2.64163  
60.00988 	0.96726  	2.47705  	2.63918  
60.01097 	0.96765  	2.47609  	2.63759  
60.01191 	0.96621  	2.47642  	2.63940  
60.01301 	0.96429  	2.47631  	2.64171  
60.01411 	0.96382  	2.47463  	2.64104  
60.01505 	0.96369  	2.47589  	2.64184  
60.01614 	0.96453  	2.47679  	2.64099  
60.01724 	0.96644  	2.47655  	2.63818  
60.01834 	0.96618  	2.47655  	2.63857  
60.01928 	0.96492  	2.47670  	2.64056  
60.02037 	0.96449  	2.47626  	2.64152  
60.02147 	0.96473  	2.47615  	2.64143  
60.02241 	0.96475  	2.47685  	2.64191  
60.02351 	0.96643  	2.47720  	2.64049  
60.02460 	0.96831  	2.47687  	2.63814  
60.02570 	0.96853  	2.47639  	2.63729  
60.02664 	0.96751  	2.47650  	2.63844  
60.02774 	0.96615  	2.47676  	2.64021  
60.02884 	0.96491  	2.47644  	2.64132  
60.02977 	0.96424  	2.47602  	2.64156  
60.03087 	0.96419  	2.47581  	2.64123  
60.03197 	0.96403  	2.47698  	2.64189  
60.03307 	0.96553  	2.47650  	2.63923  
60.03400 	0.96661  	2.47605  	2.63733  
60.03510 	0.96591  	2.47676  	2.63875  
60.03620 	0.96424  	2.47705  	2.64145  
60.03714 	0.96437  	2.47561  	2.64064  
60.03823 	0.96419  	2.47653  	2.64158  
60.03933 	0.96457  	2.47683  	2.64182  
60.04043 	0.96556  	2.47703  	2.64084  
60.04137 	0.96724  	2.47714  	2.63868  
60.04247 	0.96774  	2.47666  	2.63742  
60.04356 	0.96763  	2.47639  	2.63742  
60.04450 	0.96603  	2.47714  	2.63979  
60.04559 	0.96480  	2.47611  	2.64038  
60.04669 	0.96428  	2.47559  	2.64049  
60.04779 	0.96395  	2.47648  	2.64165  
60.04873 	0.96371  	2.47700  	2.64200  
60.04982 	0.96415  	2.47622  	2.64075  
60.05092 	0.96587  	2.47676  	2.63846  
60.05186 	0.96685  	2.47659  	2.63690  
60.05296 	0.96632  	2.47711  	2.63801  
60.05405 	0.96457  	2.47637  	2.63988  
60.05515 	0.96447  	2.47633  	2.64073  
60.05609 	0.96445  	2.47578  	2.64088  
60.05719 	0.96477  	2.47506  	2.64010  
60.05828 	0.96450  	2.47698  	2.64143  
60.05922 	0.96581  	2.47738  	2.63971  
60.06032 	0.96793  	2.47653  	2.63615  
60.06142 	0.96788  	2.47729  	2.63620  
60.06251 	0.96627  	2.47700  	2.63807  
60.06345 	0.96533  	2.47679  	2.63921  
60.06455 	0.96445  	2.47615  	2.63995  
60.06564 	0.96361  	2.47591  	2.64078  
60.06659 	0.96343  	2.47465  	2.64014  
60.06768 	0.96340  	2.47624  	2.64075  
60.06878 	0.96516  	2.47711  	2.63884  
60.06987 	0.96700  	2.47681  	2.63622  
60.07081 	0.96601  	2.47729  	2.63798  
60.07191 	0.96488  	2.47698  	2.63962  
60.07301 	0.96423  	2.47661  	2.64025  
60.07394 	0.96349  	2.47607  	2.64091  
60.07504 	0.96408  	2.47544  	2.63958  
60.07613 	0.96482  	2.47746  	2.63940  
60.07723 	0.96663  	2.47674  	2.63642  
60.07817 	0.96685  	2.47707  	2.63626  
60.07927 	0.96640  	2.47807  	2.63714  
60.08036 	0.96554  	2.47696  	2.63753  
60.08130 	0.96514  	2.47727  	2.63833  
60.08240 	0.96397  	2.47755  	2.63997  
60.08350 	0.96317  	2.47615  	2.64025  
60.08459 	0.96297  	2.47587  	2.64023  
60.08553 	0.96314  	2.47609  	2.64038  
60.08663 	0.96493  	2.47681  	2.63857  
60.08772 	0.96669  	2.47742  	2.63687  
60.08867 	0.96602  	2.47825  	2.63822  
60.08976 	0.96587  	2.47731  	2.63818  
60.09085 	0.96539  	2.47768  	2.63899  
60.09195 	0.96434  	2.47727  	2.63982  
60.09289 	0.96348  	2.47707  	2.64054  
60.09399 	0.96322  	2.47672  	2.64069  
60.09509 	0.96473  	2.47722  	2.63875  
60.09602 	0.96598  	2.47716  	2.63663  
60.09712 	0.96593  	2.47820  	2.63703  
