$SUMMARY
Experiment Type : Continuous Scan
Experiment Name : buffer, Number : 59
Experiment Description : Tris 10mM, EDTA 0.5 mM, KCl 10 mM
Software Version : v2.03
Experiment start time : 01/12/2009  17:24:33
Temp. Setpoint   : 25.00 deg C
Scan Start : 60.000 deg.
Scan End   : 70.000 deg.
Scan Step  :  0.001 deg.
Scan Rate  : 25.000 deg./min.
Number of Repeats : 1
Wait Time Between Repeats  : 0.100 sec
Prism Position   : Sample Position
Laser/Polarization : RED P
Sample Temperature : 25.05 degC.
Normalization:
Normalize 0 pct. Value (Dark Sample) = -0.001
Normalize 0 pct. Value (Dark Ref.) = -0.000
RED Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 3.198596
Normalize 100 pct. Value S = 3.115587
Initial Reference Value P = 4.013322
Initial Reference Value S = 3.843939
GREEN Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 2.741905
Normalize 100 pct. Value S = 2.484425
Initial Reference Value P = 2.813556
Initial Reference Value S = 2.615177
65 deg Start of Scan Raw Sample =   3.2050
65 deg Start of Scan Raw Reference =   4.0216
65 deg Start of Scan Reflectance =   3.1994

$DATA
$MDCNAME:
$MDCDATA:1:2:3
 X	Reflectance	Raw_Sample	Raw_Reference
60.00053 	0.84815  	2.62227  	4.01989  
60.00148 	0.84895  	2.62190  	4.01814  
60.00258 	0.84767  	2.62142  	4.02072  
60.00368 	0.84818  	2.62205  	4.02037  
60.00462 	0.84935  	2.62292  	4.01854  
60.00572 	0.84931  	2.62201  	4.01753  
60.00682 	0.84779  	2.62159  	4.02056  
60.00777 	0.84729  	2.62066  	4.02059  
60.00886 	0.84755  	2.62148  	4.02030  
60.00996 	0.84847  	2.62166  	4.01788  
60.01091 	0.84787  	2.62192  	4.01943  
60.01200 	0.84715  	2.62118  	4.02065  
60.01311 	0.84675  	2.62048  	4.02093  
60.01405 	0.84683  	2.62039  	4.02030  
60.01515 	0.84706  	2.62129  	4.02054  
60.01625 	0.84802  	2.62092  	4.01845  
60.01735 	0.84829  	2.62164  	4.01880  
60.01829 	0.84787  	2.62207  	4.02041  
60.01939 	0.84750  	2.62124  	4.02098  
60.02049 	0.84749  	2.62094  	4.02076  
60.02143 	0.84755  	2.62159  	4.02085  
60.02253 	0.84736  	2.62181  	4.02122  
60.02364 	0.84807  	2.62094  	4.01882  
60.02458 	0.84828  	2.62048  	4.01786  
60.02568 	0.84804  	2.62127  	4.01873  
60.02678 	0.84714  	2.62144  	4.02098  
60.02772 	0.84683  	2.62076  	4.02122  
60.02882 	0.84668  	2.62002  	4.02096  
60.02992 	0.84662  	2.62050  	4.02126  
60.03102 	0.84658  	2.62061  	4.02117  
60.03196 	0.84699  	2.62063  	4.02072  
60.03306 	0.84764  	2.62013  	4.01904  
60.03416 	0.84791  	2.62063  	4.01882  
60.03510 	0.84748  	2.62059  	4.01993  
60.03620 	0.84699  	2.62052  	4.02150  
60.03730 	0.84679  	2.61994  	4.02165  
60.03825 	0.84679  	2.62020  	4.02146  
60.03934 	0.84657  	2.62022  	4.02170  
60.04044 	0.84683  	2.62096  	4.02146  
60.04139 	0.84740  	2.62009  	4.01915  
60.04249 	0.84777  	2.62072  	4.01834  
60.04359 	0.84758  	2.62037  	4.01864  
60.04469 	0.84671  	2.62090  	4.02115  
60.04563 	0.84640  	2.62033  	4.02126  
60.04673 	0.84609  	2.61978  	4.02130  
60.04783 	0.84615  	2.61928  	4.02120  
60.04877 	0.84623  	2.62005  	4.02168  
60.04987 	0.84675  	2.62009  	4.02076  
60.05097 	0.84764  	2.61994  	4.01880  
60.05191 	0.84777  	2.62005  	4.01886  
60.05301 	0.84733  	2.62048  	4.02065  
60.05411 	0.84642  	2.61926  	4.02161  
60.05505 	0.84621  	2.61887  	4.02168  
60.05615 	0.84594  	2.61874  	4.02205  
60.05725 	0.84617  	2.61926  	4.02198  
60.05835 	0.84638  	2.61985  	4.02157  
60.05930 	0.84720  	2.61970  	4.01902  
60.06039 	0.84734  	2.61991  	4.01854  
60.06149 	0.84711  	2.62026  	4.01908  
60.06244 	0.84600  	2.62109  	4.02207  
60.06354 	0.84604  	2.61963  	4.02117  
60.06464 	0.84587  	2.61902  	4.02161  
60.06558 	0.84588  	2.61848  	4.02124  
60.06668 	0.84577  	2.61926  	4.02250  
60.06778 	0.84652  	2.61841  	4.02041  
60.06872 	0.84699  	2.61900  	4.01995  
60.06982 	0.84745  	2.61913  	4.01921  
60.07092 	0.84645  	2.62018  	4.02218  
60.07202 	0.84626  	2.61911  	4.02161  
60.07296 	0.84588  	2.61865  	4.02189  
60.07406 	0.84572  	2.61810  	4.02137  
60.07516 	0.84531  	2.61848  	4.02229  
60.07610 	0.84547  	2.61826  	4.02144  
60.07720 	0.84606  	2.61819  	4.01952  
60.07830 	0.84661  	2.61904  	4.01893  
60.07924 	0.84617  	2.61983  	4.02030  
60.08034 	0.84552  	2.62072  	4.02263  
60.08144 	0.84544  	2.61906  	4.02152  
60.08238 	0.84536  	2.61922  	4.02200  
60.08348 	0.84556  	2.61882  	4.02207  
60.08458 	0.84595  	2.61854  	4.02146  
60.08568 	0.84659  	2.61797  	4.02002  
60.08662 	0.84719  	2.61791  	4.01906  
60.08772 	0.84670  	2.61926  	4.02135  
60.08882 	0.84612  	2.61837  	4.02187  
