$SUMMARY
Experiment Type : Continuous Scan
Experiment Name : buffer, Number : 60
Experiment Description : Tris 10mM, EDTA 0.5 mM, KCl 10 mM
Software Version : v2.03
Experiment start time : 01/12/2009  17:25:14
Temp. Setpoint   : 25.00 deg C
Scan Start : 60.000 deg.
Scan End   : 70.000 deg.
Scan Step  :  0.001 deg.
Scan Rate  : 25.000 deg./min.
Number of Repeats : 1
Wait Time Between Repeats  : 0.100 sec
Prism Position   : Sample Position
Laser/Polarization : RED S
Sample Temperature : 25.04 degC.
Normalization:
Normalize 0 pct. Value (Dark Sample) = -0.001
Normalize 0 pct. Value (Dark Ref.) = -0.000
RED Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 3.198596
Normalize 100 pct. Value S = 3.115587
Initial Reference Value P = 4.013322
Initial Reference Value S = 3.843939
GREEN Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 2.741905
Normalize 100 pct. Value S = 2.484425
Initial Reference Value P = 2.813556
Initial Reference Value S = 2.615177
65 deg Start of Scan Raw Sample =   3.1257
65 deg Start of Scan Raw Reference =   3.8474
65 deg Start of Scan Reflectance =   3.1238

$DATA
$MDCNAME:
$MDCDATA:1:2:3
 X	Reflectance	Raw_Sample	Raw_Reference
60.00053 	0.97918  	3.11474  	3.85248  
60.00148 	0.97877  	3.11487  	3.85293  
60.00258 	0.97896  	3.11434  	3.85235  
60.00368 	0.97889  	3.11465  	3.85245  
60.00462 	0.97861  	3.11443  	3.85326  
60.00572 	0.97866  	3.11452  	3.85320  
60.00682 	0.97851  	3.11325  	3.85237  
60.00777 	0.97872  	3.11325  	3.85156  
60.00886 	0.97795  	3.11474  	3.85374  
60.00996 	0.97809  	3.11524  	3.85363  
60.01091 	0.97813  	3.11583  	3.85387  
60.01200 	0.97846  	3.11358  	3.85215  
60.01311 	0.97905  	3.11338  	3.85130  
60.01405 	0.97852  	3.11463  	3.85317  
60.01515 	0.97830  	3.11421  	3.85341  
60.01625 	0.97841  	3.11480  	3.85381  
60.01735 	0.97834  	3.11502  	3.85359  
60.01829 	0.97838  	3.11506  	3.85370  
60.01939 	0.97867  	3.11384  	3.85215  
60.02049 	0.97903  	3.11323  	3.85097  
60.02143 	0.97844  	3.11410  	3.85267  
60.02253 	0.97812  	3.11408  	3.85320  
60.02364 	0.97786  	3.11447  	3.85359  
60.02458 	0.97795  	3.11447  	3.85313  
60.02568 	0.97780  	3.11500  	3.85350  
60.02678 	0.97811  	3.11554  	3.85348  
60.02772 	0.97868  	3.11386  	3.85150  
60.02882 	0.97856  	3.11443  	3.85193  
60.02992 	0.97893  	3.11362  	3.85113  
60.03102 	0.97822  	3.11539  	3.85394  
60.03196 	0.97828  	3.11382  	3.85280  
60.03306 	0.97773  	3.11439  	3.85363  
60.03416 	0.97794  	3.11415  	3.85283  
60.03510 	0.97774  	3.11541  	3.85418  
60.03620 	0.97841  	3.11441  	3.85237  
60.03730 	0.97864  	3.11399  	3.85154  
60.03825 	0.97879  	3.11386  	3.85113  
60.03934 	0.97814  	3.11593  	3.85361  
60.04044 	0.97796  	3.11504  	3.85287  
60.04139 	0.97766  	3.11450  	3.85269  
60.04249 	0.97745  	3.11478  	3.85289  
60.04359 	0.97765  	3.11561  	3.85309  
60.04469 	0.97754  	3.11550  	3.85330  
60.04563 	0.97814  	3.11408  	3.85145  
60.04673 	0.97841  	3.11419  	3.85121  
60.04783 	0.97867  	3.11493  	3.85130  
60.04877 	0.97768  	3.11615  	3.85381  
60.04987 	0.97777  	3.11489  	3.85261  
60.05097 	0.97779  	3.11489  	3.85293  
60.05191 	0.97800  	3.11526  	3.85276  
60.05301 	0.97754  	3.11532  	3.85344  
60.05411 	0.97796  	3.11299  	3.85115  
60.05505 	0.97836  	3.11367  	3.85108  
60.05615 	0.97829  	3.11471  	3.85189  
60.05725 	0.97772  	3.11639  	3.85376  
60.05820 	0.97766  	3.11517  	3.85278  
60.05930 	0.97764  	3.11587  	3.85300  
60.06039 	0.97758  	3.11591  	3.85289  
60.06149 	0.97744  	3.11622  	3.85339  
60.06244 	0.97791  	3.11445  	3.85184  
60.06354 	0.97805  	3.11375  	3.85108  
60.06464 	0.97832  	3.11380  	3.85060  
60.06558 	0.97801  	3.11432  	3.85132  
60.06668 	0.97737  	3.11589  	3.85354  
60.06778 	0.97731  	3.11478  	3.85276  
60.06872 	0.97730  	3.11598  	3.85330  
60.06982 	0.97738  	3.11515  	3.85272  
60.07092 	0.97750  	3.11574  	3.85326  
60.07186 	0.97795  	3.11380  	3.85108  
60.07296 	0.97794  	3.11443  	3.85115  
60.07406 	0.97765  	3.11345  	3.85067  
60.07516 	0.97689  	3.11550  	3.85304  
60.07610 	0.97686  	3.11460  	3.85243  
60.07720 	0.97686  	3.11561  	3.85320  
60.07830 	0.97738  	3.11567  	3.85265  
60.07924 	0.97751  	3.11628  	3.85298  
60.08034 	0.97772  	3.11519  	3.85206  
60.08144 	0.97797  	3.11456  	3.85097  
60.08238 	0.97796  	3.11384  	3.85056  
60.08348 	0.97771  	3.11500  	3.85191  
60.08458 	0.97705  	3.11458  	3.85256  
60.08553 	0.97703  	3.11417  	3.85250  
60.08662 	0.97728  	3.11421  	3.85245  
60.08772 	0.97781  	3.11500  	3.85296  
60.08882 	0.97760  	3.11373  	3.85136  
60.08976 	0.97763  	3.11360  	3.85106  
60.09087 	0.97713  	3.11476  	3.85256  
60.09196 	0.97678  	3.11526  	3.85330  
60.09291 	0.97686  	3.11413  	3.85245  
60.09401 	0.97688  	3.11436  	3.85304  
60.09510 	0.97725  	3.11452  	3.85263  
60.09605 	0.97714  	3.11474  	3.85313  
60.09715 	0.97719  	3.11487  	3.85320  
60.09825 	0.97729  	3.11312  	3.85147  
60.09919 	0.97730  	3.11354  	3.85143  
60.10029 	0.97755  	3.11371  	3.85132  
60.10139 	0.97659  	3.11589  	3.85453  
60.10249 	0.97672  	3.11384  	3.85283  
60.10343 	0.97658  	3.11456  	3.85374  
60.10453 	0.97643  	3.11356  	3.85276  
60.10563 	0.97552  	3.11417  	3.85416  
60.10657 	0.97624  	3.11229  	3.85228  
60.10767 	0.97630  	3.11168  	3.85150  
60.10877 	0.97619  	3.11234  	3.85174  
60.10971 	0.97594  	3.11432  	3.85389  
60.11081 	0.97609  	3.11410  	3.85376  
60.11190 	0.97619  	3.11441  	3.85385  
60.11285 	0.97669  	3.11428  	3.85320  
60.11395 	0.97657  	3.11484  	3.85387  
60.11505 	0.97659  	3.11347  	3.85302  
60.11599 	0.97686  	3.11223  	3.85169  
60.11709 	0.97689  	3.11236  	3.85147  
60.11819 	0.97669  	3.11341  	3.85291  
60.11929 	0.97624  	3.11402  	3.85402  
60.12023 	0.97625  	3.11354  	3.85363  
60.12133 	0.97634  	3.11393  	3.85370  
60.12243 	0.97613  	3.11391  	3.85383  
60.12337 	0.97592  	3.11399  	3.85400  
60.12447 	0.97623  	3.11173  	3.85169  
60.12557 	0.97629  	3.11162  	3.85152  
60.12651 	0.97620  	3.11164  	3.85182  
60.12761 	0.97560  	3.11282  	3.85381  
60.12871 	0.97581  	3.11214  	3.85333  
60.12965 	0.97605  	3.11308  	3.85385  
60.13074 	0.97635  	3.11375  	3.85370  
60.13185 	0.97614  	3.11402  	3.85398  
60.13295 	0.97620  	3.11386  	3.85385  
60.13389 	0.97664  	3.11258  	3.85228  
60.13499 	0.97643  	3.11236  	3.85211  
60.13609 	0.97639  	3.11227  	3.85211  
60.13703 	0.97547  	3.11321  	3.85446  
60.13813 	0.97550  	3.11219  	3.85357  
60.13923 	0.97531  	3.11227  	3.85374  
60.14017 	0.97518  	3.11240  	3.85370  
60.14127 	0.97492  	3.11338  	3.85455  
60.14236 	0.97546  	3.11186  	3.85241  
60.14331 	0.97542  	3.11205  	3.85243  
60.14441 	0.97492  	3.11295  	3.85392  
60.14550 	0.97507  	3.11256  	3.85392  
60.14660 	0.97509  	3.11219  	3.85387  
60.14754 	0.97546  	3.11225  	3.85350  
60.14864 	0.97543  	3.11286  	3.85385  
60.14974 	0.97561  	3.11323  	3.85398  
60.15068 	0.97593  	3.11216  	3.85276  
60.15178 	0.97621  	3.11186  	3.85187  
60.15288 	0.97633  	3.11234  	3.85228  
60.15382 	0.97562  	3.11382  	3.85450  
60.15492 	0.97557  	3.11323  	3.85407  
60.15602 	0.97532  	3.11304  	3.85407  
60.15696 	0.97529  	3.11280  	3.85357  
60.15806 	0.97493  	3.11323  	3.85422  
60.15916 	0.97522  	3.11166  	3.85267  
60.16026 	0.97579  	3.11105  	3.85156  
60.16120 	0.97591  	3.11201  	3.85211  
60.16230 	0.97586  	3.11384  	3.85357  
60.16340 	0.97578  	3.11349  	3.85368  
60.16434 	0.97592  	3.11327  	3.85333  
60.16544 	0.97632  	3.11408  	3.85298  
60.16654 	0.97632  	3.11524  	3.85372  
60.16748 	0.97644  	3.11299  	3.85184  
60.16858 	0.97702  	3.11249  	3.85082  
60.16968 	0.97723  	3.11258  	3.85071  
60.17062 	0.97670  	3.11421  	3.85250  
60.17172 	0.97667  	3.11402  	3.85224  
60.17281 	0.97650  	3.11458  	3.85254  
60.17376 	0.97660  	3.11454  	3.85189  
60.17485 	0.97641  	3.11545  	3.85241  
60.17596 	0.97673  	3.11454  	3.85145  
60.17706 	0.97727  	3.11358  	3.84984  
60.17800 	0.97769  	3.11367  	3.84927  
60.17910 	0.97777  	3.11404  	3.84980  
60.18019 	0.97736  	3.11480  	3.85119  
60.18114 	0.97755  	3.11393  	3.85045  
60.18223 	0.97757  	3.11522  	3.85113  
60.18333 	0.97796  	3.11572  	3.85065  
60.18427 	0.97824  	3.11639  	3.85071  
60.18537 	0.97839  	3.11609  	3.85045  
60.18647 	0.97879  	3.11519  	3.84888  
60.18741 	0.97931  	3.11491  	3.84796  
60.18851 	0.97846  	3.11561  	3.85004  
60.18961 	0.97823  	3.11498  	3.85004  
60.19071 	0.97784  	3.11524  	3.85056  
60.19165 	0.97814  	3.11517  	3.84977  
60.19275 	0.97820  	3.11668  	3.85071  
60.19385 	0.97884  	3.11561  	3.84879  
60.19479 	0.97928  	3.11574  	3.84829  
60.19589 	0.97939  	3.11550  	3.84820  
60.19698 	0.97880  	3.11698  	3.85036  
60.19793 	0.97877  	3.11646  	3.84982  
60.19902 	0.97867  	3.11580  	3.84980  
60.20012 	0.97917  	3.11628  	3.84960  
60.20107 	0.97920  	3.11563  	3.84901  
60.20216 	0.97915  	3.11798  	3.85065  
60.20326 	0.97954  	3.11630  	3.84879  
60.20436 	0.97974  	3.11630  	3.84807  
60.20530 	0.97994  	3.11613  	3.84738  
60.20640 	0.97930  	3.11737  	3.84916  
60.20750 	0.97906  	3.11796  	3.84999  
60.20844 	0.97898  	3.11676  	3.84960  
60.20954 	0.97907  	3.11628  	3.84895  
60.21064 	0.97897  	3.11663  	3.84966  
60.21158 	0.97924  	3.11650  	3.84936  
60.21268 	0.97967  	3.11530  	3.84803  
60.21378 	0.98007  	3.11559  	3.84742  
60.21472 	0.97986  	3.11729  	3.84914  
60.21582 	0.97949  	3.11757  	3.84988  
60.21691 	0.97964  	3.11726  	3.84971  
60.21785 	0.97981  	3.11696  	3.84925  
60.21895 	0.97967  	3.11818  	3.85008  
60.22005 	0.97997  	3.11659  	3.84864  
60.22115 	0.98023  	3.11598  	3.84768  
60.22209 	0.98046  	3.11646  	3.84753  
60.22319 	0.97953  	3.11814  	3.85014  
60.22429 	0.97945  	3.11689  	3.84942  
60.22523 	0.97903  	3.11763  	3.85051  
60.22633 	0.97942  	3.11696  	3.84947  
60.22742 	0.97942  	3.11774  	3.85045  
60.22836 	0.97995  	3.11665  	3.84916  
60.22947 	0.98029  	3.11607  	3.84834  
60.23056 	0.98076  	3.11543  	3.84718  
60.23150 	0.98065  	3.11648  	3.84816  
60.23260 	0.97979  	3.11692  	3.84990  
60.23370 	0.97978  	3.11596  	3.84934  
60.23480 	0.97961  	3.11672  	3.85004  
60.23574 	0.98010  	3.11692  	3.84934  
60.23684 	0.97969  	3.11783  	3.85034  
60.23793 	0.98020  	3.11700  	3.84831  
60.23888 	0.98004  	3.11687  	3.84829  
60.23997 	0.98052  	3.11604  	3.84666  
60.24107 	0.97950  	3.11724  	3.84929  
60.24202 	0.97920  	3.11711  	3.84962  
60.24311 	0.97881  	3.11630  	3.85001  
60.24421 	0.97904  	3.11644  	3.84995  
60.24515 	0.97956  	3.11672  	3.84940  
60.24625 	0.98003  	3.11663  	3.84855  
60.24735 	0.98079  	3.11598  	3.84714  
60.24844 	0.98075  	3.11683  	3.84788  
60.24939 	0.98041  	3.11713  	3.84873  
60.25048 	0.98029  	3.11707  	3.84925  
60.25158 	0.98020  	3.11659  	3.84932  
60.25252 	0.98046  	3.11589  	3.84836  
60.25362 	0.98021  	3.11661  	3.84899  
60.25472 	0.98040  	3.11748  	3.84897  
60.25566 	0.98061  	3.11698  	3.84790  
60.25676 	0.98112  	3.11674  	3.84618  
60.25786 	0.98102  	3.11718  	3.84639  
60.25880 	0.98066  	3.11857  	3.84812  
60.25990 	0.98018  	3.11794  	3.84873  
60.26099 	0.98025  	3.11702  	3.84827  
60.26209 	0.98015  	3.11683  	3.84875  
60.26303 	0.98036  	3.11663  	3.84847  
60.26413 	0.98068  	3.11563  	3.84740  
60.26523 	0.98110  	3.11567  	3.84659  
60.26617 	0.98148  	3.11641  	3.84646  
60.26727 	0.98118  	3.11807  	3.84836  
60.26836 	0.98102  	3.11755  	3.84862  
60.26931 	0.98069  	3.11750  	3.84918  
60.27040 	0.98092  	3.11648  	3.84805  
60.27150 	0.98059  	3.11744  	3.84884  
60.27244 	0.98014  	3.11718  	3.84912  
60.27354 	0.98057  	3.11554  	3.84690  
60.27464 	0.98087  	3.11578  	3.84624  
60.27558 	0.98079  	3.11670  	3.84672  
60.27668 	0.98014  	3.11851  	3.84914  
60.27777 	0.98047  	3.11716  	3.84801  
60.27887 	0.98007  	3.11768  	3.84914  
60.27981 	0.98033  	3.11702  	3.84849  
60.28091 	0.98003  	3.11722  	3.84914  
60.28201 	0.98059  	3.11561  	3.84729  
60.28295 	0.98106  	3.11513  	3.84672  
60.28405 	0.98148  	3.11556  	3.84637  
60.28514 	0.98077  	3.11726  	3.84897  
60.28609 	0.98076  	3.11663  	3.84879  
60.28719 	0.98048  	3.11674  	3.84947  
60.28828 	0.98063  	3.11648  	3.84886  
60.28922 	0.98003  	3.11644  	3.84975  
60.29032 	0.98034  	3.11591  	3.84857  
60.29142 	0.98043  	3.11541  	3.84801  
60.29251 	0.98096  	3.11539  	3.84683  
60.29346 	0.98035  	3.11624  	3.84851  
60.29456 	0.97986  	3.11630  	3.84962  
60.29565 	0.97938  	3.11593  	3.85038  
60.29659 	0.97936  	3.11491  	3.84975  
60.29769 	0.97917  	3.11500  	3.85019  
60.29879 	0.97985  	3.11469  	3.84923  
60.29973 	0.98041  	3.11480  	3.84825  
60.30083 	0.98026  	3.11498  	3.84866  
60.30193 	0.97975  	3.11626  	3.85041  
60.30287 	0.97968  	3.11495  	3.85006  
60.30396 	0.97913  	3.11535  	3.85126  
60.30506 	0.97919  	3.11430  	3.85017  
60.30616 	0.97885  	3.11413  	3.85056  
60.30710 	0.97853  	3.11452  	3.85108  
60.30820 	0.97894  	3.11360  	3.84980  
60.30930 	0.97951  	3.11417  	3.84925  
