$SUMMARY
Experiment Type : Continuous Scan
Experiment Name : egg PC, Number : 40
Experiment Description : 
Software Version : v2.03
Experiment start time : 01/12/2009  14:02:54
Temp. Setpoint   : 25.00 deg C
Scan Start : 60.000 deg.
Scan End   : 70.000 deg.
Scan Step  :  0.001 deg.
Scan Rate  : 25.000 deg./min.
Number of Repeats : 1
Wait Time Between Repeats  : 0.100 sec
Prism Position   : Sample Position
Laser/Polarization : GREEN P
Sample Temperature : 25.04 degC.
Normalization:
Normalize 0 pct. Value (Dark Sample) = -0.001
Normalize 0 pct. Value (Dark Ref.) = -0.000
RED Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 3.392844
Normalize 100 pct. Value S = 3.307350
Initial Reference Value P = 4.022547
Initial Reference Value S = 3.858709
GREEN Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 2.969579
Normalize 100 pct. Value S = 2.658902
Initial Reference Value P = 2.722457
Initial Reference Value S = 2.508218
65 deg Start of Scan Raw Sample =   2.8304
65 deg Start of Scan Raw Reference =   2.7960
65 deg Start of Scan Reflectance =   2.7569

$DATA
$MDCNAME:
$MDCDATA:1:2:3
 X	Reflectance	Raw_Sample	Raw_Reference
60.00047 	0.85410  	2.37015  	2.80849  
60.00142 	0.85296  	2.36834  	2.80893  
60.00251 	0.85331  	2.36984  	2.80941  
60.00361 	0.85354  	2.37035  	2.80928  
60.00455 	0.85295  	2.36934  	2.80954  
60.00565 	0.85252  	2.36871  	2.80941  
60.00674 	0.85268  	2.36830  	2.80860  
60.00784 	0.85281  	2.36987  	2.80921  
60.00878 	0.85290  	2.37021  	2.80910  
60.00988 	0.85300  	2.37083  	2.80923  
60.01097 	0.85272  	2.36930  	2.80891  
60.01191 	0.85394  	2.36843  	2.80681  
60.01301 	0.85399  	2.36989  	2.80812  
60.01411 	0.85490  	2.37141  	2.80777  
60.01520 	0.85545  	2.37233  	2.80806  
60.01614 	0.85517  	2.37130  	2.80786  
60.01724 	0.85556  	2.36982  	2.80649  
60.01833 	0.85528  	2.36963  	2.80673  
60.01928 	0.85550  	2.36912  	2.80609  
60.02037 	0.85640  	2.37170  	2.80592  
60.02147 	0.85656  	2.37418  	2.80690  
60.02256 	0.85671  	2.37409  	2.80614  
60.02351 	0.85682  	2.37344  	2.80511  
60.02460 	0.85642  	2.37196  	2.80457  
60.02570 	0.85627  	2.37130  	2.80435  
