$SUMMARY
Experiment Type : Continuous Scan
Experiment Name : egg PC, Number : 39
Experiment Description : 
Software Version : v2.03
Experiment start time : 01/12/2009  14:02:11
Temp. Setpoint   : 25.00 deg C
Scan Start : 60.000 deg.
Scan End   : 70.000 deg.
Scan Step  :  0.001 deg.
Scan Rate  : 25.000 deg./min.
Number of Repeats : 1
Wait Time Between Repeats  : 0.100 sec
Prism Position   : Sample Position
Laser/Polarization : GREEN S
Sample Temperature : 25.04 degC.
Normalization:
Normalize 0 pct. Value (Dark Sample) = -0.001
Normalize 0 pct. Value (Dark Ref.) = -0.000
RED Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 3.392844
Normalize 100 pct. Value S = 3.307350
Initial Reference Value P = 4.022547
Initial Reference Value S = 3.858709
GREEN Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 2.969579
Normalize 100 pct. Value S = 2.658902
Initial Reference Value P = 2.722457
Initial Reference Value S = 2.508218
65 deg Start of Scan Raw Sample =   2.5661
65 deg Start of Scan Raw Reference =   2.6076
65 deg Start of Scan Reflectance =   2.4691

$DATA
$MDCNAME:
$MDCDATA:1:2:3
 X	Reflectance	Raw_Sample	Raw_Reference
60.00047 	0.95486  	2.52958  	2.61856  
60.00142 	0.95483  	2.53054  	2.61902  
60.00251 	0.95362  	2.52921  	2.61954  
60.00361 	0.95226  	2.52797  	2.62081  
60.00455 	0.95258  	2.52684  	2.62009  
60.00565 	0.95390  	2.52701  	2.61832  
60.00674 	0.95453  	2.53058  	2.61939  
60.00784 	0.95586  	2.53054  	2.61773  
60.00878 	0.95500  	2.53091  	2.61930  
60.00988 	0.95335  	2.52860  	2.62026  
60.01097 	0.95358  	2.52769  	2.61961  
60.01191 	0.95446  	2.52734  	2.61856  
60.01301 	0.95494  	2.52703  	2.61821  
60.01411 	0.95471  	2.52830  	2.61922  
60.01520 	0.95539  	2.52997  	2.61967  
60.01614 	0.95498  	2.52851  	2.61941  
60.01724 	0.95425  	2.52825  	2.61946  
60.01833 	0.95486  	2.52838  	2.61841  
60.01928 	0.95430  	2.52923  	2.61900  
60.02037 	0.95465  	2.52956  	2.61856  
60.02147 	0.95456  	2.52943  	2.61854  
60.02256 	0.95396  	2.52862  	2.61891  
60.02351 	0.95411  	2.52950  	2.61950  
60.02460 	0.95530  	2.52915  	2.61808  
60.02570 	0.95630  	2.52947  	2.61752  
60.02664 	0.95641  	2.53030  	2.61865  
60.02773 	0.95732  	2.53037  	2.61813  
60.02883 	0.95711  	2.52904  	2.61802  
60.02993 	0.95697  	2.52769  	2.61797  
60.03087 	0.95620  	2.52777  	2.61898  
60.03197 	0.95572  	2.52849  	2.61939  
60.03306 	0.95666  	2.52836  	2.61730  
60.03400 	0.95699  	2.52928  	2.61702  
60.03510 	0.95680  	2.53074  	2.61776  
60.03619 	0.95635  	2.53220  	2.61850  
60.03729 	0.95701  	2.53229  	2.61728  
60.03823 	0.95715  	2.53213  	2.61708  
60.03933 	0.95597  	2.53102  	2.61793  
60.04042 	0.95586  	2.52934  	2.61717  
60.04136 	0.95521  	2.52884  	2.61806  
60.04246 	0.95606  	2.52803  	2.61686  
60.04356 	0.95742  	2.52799  	2.61590  
60.04465 	0.95819  	2.53063  	2.61708  
60.04559 	0.95885  	2.53226  	2.61758  
60.04669 	0.95986  	2.53222  	2.61691  
60.04778 	0.96016  	2.53176  	2.61667  
60.04873 	0.95960  	2.53080  	2.61686  
60.04982 	0.95837  	2.52982  	2.61749  
60.05092 	0.95792  	2.52899  	2.61743  
60.05202 	0.95922  	2.52869  	2.61525  
60.05296 	0.95931  	2.52928  	2.61499  
60.05405 	0.95909  	2.53224  	2.61649  
60.05515 	0.95987  	2.53366  	2.61595  
60.05609 	0.96035  	2.53355  	2.61494  
60.05718 	0.95917  	2.53381  	2.61638  
60.05828 	0.95866  	2.53176  	2.61632  
60.05938 	0.95898  	2.53045  	2.61588  
60.06031 	0.95956  	2.53043  	2.61571  
60.06141 	0.96030  	2.52908  	2.61464  
60.06251 	0.96076  	2.52958  	2.61501  
60.06345 	0.96130  	2.53017  	2.61516  
60.06454 	0.96238  	2.53189  	2.61488  
60.06564 	0.96271  	2.53403  	2.61560  
60.06674 	0.96191  	2.53327  	2.61616  
60.06768 	0.96138  	2.53137  	2.61555  
60.06878 	0.96131  	2.53074  	2.61473  
60.06987 	0.96169  	2.53065  	2.61399  
60.07081 	0.96130  	2.53043  	2.61399  
60.07190 	0.96124  	2.53137  	2.61436  
60.07300 	0.96101  	2.53270  	2.61468  
60.07410 	0.96081  	2.53335  	2.61486  
60.07504 	0.96035  	2.53342  	2.61555  
60.07613 	0.96059  	2.53361  	2.61562  
60.07723 	0.96113  	2.53296  	2.61477  
60.07817 	0.96193  	2.53335  	2.61444  
60.07927 	0.96298  	2.53189  	2.61311  
60.08036 	0.96262  	2.53309  	2.61468  
60.08146 	0.96321  	2.53183  	2.61348  
60.08239 	0.96376  	2.53296  	2.61361  
60.08349 	0.96368  	2.53202  	2.61346  
60.08459 	0.96273  	2.53263  	2.61477  
60.08553 	0.96238  	2.53244  	2.61484  
60.08662 	0.96313  	2.53257  	2.61383  
60.08772 	0.96339  	2.53268  	2.61320  
60.08882 	0.96317  	2.53342  	2.61366  
60.08976 	0.96326  	2.53340  	2.61351  
60.09085 	0.96316  	2.53503  	2.61433  
60.09195 	0.96333  	2.53492  	2.61385  
60.09289 	0.96303  	2.53368  	2.61372  
60.09398 	0.96266  	2.53309  	2.61412  
60.09508 	0.96269  	2.53300  	2.61444  
60.09618 	0.96400  	2.53191  	2.61266  
60.09711 	0.96485  	2.53327  	2.61272  
60.09821 	0.96475  	2.53497  	2.61407  
60.09931 	0.96535  	2.53527  	2.61342  
60.10025 	0.96539  	2.53503  	2.61331  
60.10134 	0.96407  	2.53497  	2.61462  
60.10244 	0.96325  	2.53266  	2.61451  
60.10353 	0.96354  	2.53250  	2.61366  
60.10447 	0.96402  	2.53327  	2.61305  
60.10557 	0.96394  	2.53420  	2.61348  
60.10667 	0.96437  	2.53638  	2.61383  
60.10760 	0.96495  	2.53678  	2.61327  
60.10870 	0.96533  	2.53706  	2.61316  
