$SUMMARY
Experiment Type : Continuous Scan
Experiment Name : egg PC, Number : 37
Experiment Description : 
Software Version : v2.03
Experiment start time : 01/12/2009  14:00:46
Temp. Setpoint   : 25.00 deg C
Scan Start : 60.000 deg.
Scan End   : 70.000 deg.
Scan Step  :  0.001 deg.
Scan Rate  : 25.000 deg./min.
Number of Repeats : 1
Wait Time Between Repeats  : 0.100 sec
Prism Position   : Sample Position
Laser/Polarization : RED P
Sample Temperature : 25.03 degC.
Normalization:
Normalize 0 pct. Value (Dark Sample) = -0.001
Normalize 0 pct. Value (Dark Ref.) = -0.000
RED Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 3.392844
Normalize 100 pct. Value S = 3.307350
Initial Reference Value P = 4.022547
Initial Reference Value S = 3.858709
GREEN Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 2.969579
Normalize 100 pct. Value S = 2.658902
Initial Reference Value P = 2.722457
Initial Reference Value S = 2.508218
65 deg Start of Scan Raw Sample =   3.3171
65 deg Start of Scan Raw Reference =   4.1059
65 deg Start of Scan Reflectance =   3.2507

$DATA
$MDCNAME:
$MDCDATA:1:2:3
 X	Reflectance	Raw_Sample	Raw_Reference
60.00053 	0.84892  	2.72494  	4.11255  
60.00148 	0.84877  	2.72540  	4.11342  
60.00258 	0.84931  	2.72496  	4.11218  
60.00368 	0.85048  	2.72463  	4.10937  
60.00462 	0.84998  	2.72577  	4.11137  
60.00572 	0.84989  	2.72585  	4.11188  
60.00682 	0.84999  	2.72581  	4.11170  
60.00776 	0.85063  	2.72474  	4.10961  
60.00886 	0.85064  	2.72524  	4.11024  
60.00996 	0.85021  	2.72616  	4.11231  
60.01090 	0.85079  	2.72616  	4.11107  
60.01200 	0.85110  	2.72640  	4.11035  
60.01311 	0.85166  	2.72590  	4.10824  
60.01405 	0.85160  	2.72577  	4.10800  
60.01515 	0.85066  	2.72655  	4.11081  
60.01625 	0.84989  	2.72649  	4.11214  
60.01735 	0.85002  	2.72707  	4.11244  
60.01829 	0.85029  	2.72644  	4.11129  
60.01939 	0.85070  	2.72670  	4.11050  
60.02049 	0.85134  	2.72568  	4.10826  
60.02143 	0.85169  	2.72570  	4.10736  
60.02253 	0.85162  	2.72592  	4.10795  
60.02363 	0.85091  	2.72666  	4.11013  
60.02458 	0.85005  	2.72697  	4.11229  
60.02568 	0.84994  	2.72697  	4.11268  
60.02678 	0.85009  	2.72686  	4.11249  
60.02772 	0.85015  	2.72694  	4.11196  
