$SUMMARY
Experiment Type : Continuous Scan
Experiment Name : egg PC, Number : 38
Experiment Description : 
Software Version : v2.03
Experiment start time : 01/12/2009  14:01:28
Temp. Setpoint   : 25.00 deg C
Scan Start : 60.000 deg.
Scan End   : 70.000 deg.
Scan Step  :  0.001 deg.
Scan Rate  : 25.000 deg./min.
Number of Repeats : 1
Wait Time Between Repeats  : 0.100 sec
Prism Position   : Sample Position
Laser/Polarization : RED S
Sample Temperature : 25.04 degC.
Normalization:
Normalize 0 pct. Value (Dark Sample) = -0.001
Normalize 0 pct. Value (Dark Ref.) = -0.000
RED Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 3.392844
Normalize 100 pct. Value S = 3.307350
Initial Reference Value P = 4.022547
Initial Reference Value S = 3.858709
GREEN Correction:
Normalize Angle = 65.000
Normalize 100 pct. Value P = 2.969579
Normalize 100 pct. Value S = 2.658902
Initial Reference Value P = 2.722457
Initial Reference Value S = 2.508218
65 deg Start of Scan Raw Sample =   3.2350
65 deg Start of Scan Raw Reference =   3.9376
65 deg Start of Scan Reflectance =   3.1711

$DATA
$MDCNAME:
$MDCDATA:1:2:3
 X	Reflectance	Raw_Sample	Raw_Reference
60.00038 	0.97501  	3.21821  	3.95061  
60.00132 	0.97492  	3.21847  	3.95070  
60.00242 	0.97404  	3.21727  	3.95179  
60.00352 	0.97407  	3.21771  	3.95199  
60.00446 	0.97428  	3.21804  	3.95164  
60.00556 	0.97466  	3.21778  	3.95092  
60.00666 	0.97486  	3.21695  	3.95009  
60.00761 	0.97388  	3.21812  	3.95273  
60.00871 	0.97463  	3.21815  	3.95166  
60.00981 	0.97480  	3.21780  	3.95111  
60.01075 	0.97517  	3.21660  	3.94941  
60.01185 	0.97454  	3.21812  	3.95144  
60.01295 	0.97388  	3.21839  	3.95271  
60.01389 	0.97405  	3.21828  	3.95192  
60.01499 	0.97437  	3.21854  	3.95148  
60.01609 	0.97508  	3.21732  	3.94893  
60.01719 	0.97539  	3.21721  	3.94797  
60.01814 	0.97541  	3.21847  	3.94859  
60.01923 	0.97466  	3.21926  	3.95057  
60.02033 	0.97461  	3.21882  	3.95072  
60.02128 	0.97426  	3.21913  	3.95151  
60.02238 	0.97439  	3.21858  	3.95120  
60.02348 	0.97418  	3.21935  	3.95236  
60.02442 	0.97529  	3.21769  	3.94948  
60.02552 	0.97582  	3.21741  	3.94811  
60.02662 	0.97634  	3.21841  	3.94763  
60.02756 	0.97602  	3.21939  	3.94902  
60.02866 	0.97597  	3.21959  	3.94935  
60.02976 	0.97587  	3.21959  	3.94954  
60.03086 	0.97575  	3.21998  	3.95005  
60.03180 	0.97553  	3.22002  	3.95044  
60.03290 	0.97592  	3.21860  	3.94856  
60.03400 	0.97673  	3.21884  	3.94684  
60.03495 	0.97653  	3.21978  	3.94739  
60.03605 	0.97637  	3.22083  	3.94824  
60.03714 	0.97636  	3.22094  	3.94815  
60.03809 	0.97652  	3.22059  	3.94767  
60.03919 	0.97593  	3.22107  	3.94904  
60.04029 	0.97606  	3.21952  	3.94808  
60.04123 	0.97618  	3.21950  	3.94797  
60.04233 	0.97653  	3.21967  	3.94752  
60.04343 	0.97649  	3.22111  	3.94878  
60.04453 	0.97664  	3.22124  	3.94876  
60.04547 	0.97705  	3.22113  	3.94795  
60.04657 	0.97753  	3.22126  	3.94695  
60.04767 	0.97765  	3.22139  	3.94697  
60.04861 	0.97745  	3.22122  	3.94697  
60.04971 	0.97746  	3.21987  	3.94577  
60.05081 	0.97760  	3.21991  	3.94512  
60.05175 	0.97730  	3.22037  	3.94580  
60.05285 	0.97665  	3.22185  	3.94758  
60.05396 	0.97640  	3.22131  	3.94739  
60.05490 	0.97705  	3.22150  	3.94662  
60.05600 	0.97764  	3.22144  	3.94582  
60.05709 	0.97770  	3.22224  	3.94621  
60.05804 	0.97756  	3.22159  	3.94597  
60.05914 	0.97816  	3.22074  	3.94464  
60.06024 	0.97845  	3.22015  	3.94394  
60.06134 	0.97818  	3.22137  	3.94536  
60.06228 	0.97745  	3.22242  	3.94789  
60.06338 	0.97773  	3.22248  	3.94778  
60.06448 	0.97791  	3.22244  	3.94736  
60.06542 	0.97813  	3.22251  	3.94693  
60.06652 	0.97871  	3.22227  	3.94549  
60.06762 	0.97916  	3.22137  	3.94379  
60.06856 	0.97943  	3.22124  	3.94322  
60.06966 	0.97917  	3.22207  	3.94377  
60.07076 	0.97849  	3.22333  	3.94590  
60.07170 	0.97828  	3.22255  	3.94569  
60.07280 	0.97772  	3.22307  	3.94695  
60.07390 	0.97777  	3.22272  	3.94658  
